-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,NULL,NULL,1,1,1,1,1,2,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,14040,14040,17310,9140,9140,NULL,315,315,0,137,137,0,178,178,0,6,69,24,0,814,498,Alabama Southern Community College,"Monroeville, AL",NULL,3270,352
1,203,18,972,88,370,460,360,NULL,NULL,480,15,19,14,19,15,18,NULL,NULL,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,133,1,133,1,133,1,133,1,25,25,1,1,1,1,1,1,2487,1,19,2630,1970,NULL,494,22993,20054,20054,26366,12704,12704,16681,1190,627,563,611,426,185,579,201,378,0,88,12,0,4966,850,Alabama State University,"Montgomery, AL",16681,6312,1409
-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,-2,1,1,1,1,1,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,NULL,NULL,1,1,1,1,1,2,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,18972,18972,25116,11472,11472,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014,2692,Alamance Community College,"Graham, NC",NULL,2130,572
-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,1,0,0,0,1,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,35,NULL,1,1,1,1,2,1,32,1,21,1385,1315,NULL,NULL,11130,NULL,NULL,NULL,NULL,NULL,11130,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,30,Alaska Bible College,"Glennallen, AK",11130,6840,13
-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,1,-2,1,1,0,0,0,0,1,-2,-2,-2,-2,-2,-2,-2,2,-2,2,-2,2,-2,2,-2,1,0,NULL,1,1,1,1,2,1,60,1,21,NULL,NULL,8500,NULL,18094,NULL,NULL,NULL,NULL,NULL,18094,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,3,Alaska Christian College,"Soldotna, AK",18094,7500,17
2,19,34,8,22,458,580,404,415,550,500,15,23,15,22,15,25,NULL,NULL,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,-2,1,1,1,0,0,0,2,2,0,0,0,0,0,0,2,-2,2,-2,2,-2,2,-2,1,25,25,1,1,1,1,2,1,169,1,19,4400,4900,NULL,15,43180,47810,47810,47810,34210,34210,43180,390,214,176,194,78,116,196,136,60,7,43,50,0,429,228,Alaska Pacific University,"Anchorage, AK",43180,29700,28
2,230,93,137,55,530,620,560,510,590,650,24,27,NULL,NULL,NULL,NULL,NULL,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,1,1,1,0,0,1,1,0,0,0,1,0,0,2,-2,2,-2,2,-2,2,-2,1,75,100,1,1,1,1,2,1,750,2,NULL,6400,3360,NULL,108,41311,42663,42663,42663,32751,32751,41311,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1674,27,Albany College of Pharmacy and Health Sciences,"Albany, NY",41311,26900,240
1,732,69,602,57,390,450,390,NULL,NULL,460,16,19,16,19,15,19,NULL,NULL,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,-2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,161,1,161,1,161,1,161,1,20,20,1,1,1,1,1,1,2048,1,16,4652,2848,NULL,367,31094,20448,20448,32352,11166,11166,19190,1303,884,419,656,496,160,647,388,259,1,76,23,0,3426,849,Albany State University,"Albany, GA",19190,3610,501
-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,-2,2,-2,2,-2,2,-2,1,23,NULL,1,1,1,1,1,2,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,9492,9492,11412,5735,5735,NULL,2491,2491,0,1398,1398,0,1093,1093,0,2,35,63,0,2198,1737,Albany Technical College,"Albany, GA",NULL,1920,658
2,100,95,0,0,380,480,430,410,500,470,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,-2,1,1,0,1,0,0,1,1,1,0,0,0,0,0,2,-2,1,174,1,174,1,174,1,35,50,1,1,1,1,2,1,240,1,19,NULL,NULL,11754,42,46528,46696,46696,46696,35324,35324,46528,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1406,261,Albertus Magnus College,"New Haven, CT",46528,27888,123
